id,cin,filenum,firstname,lastname,active,address,birthdate,city,createdon,gender,insured,job,landline,mobile,postalcode,createdby,email
1,LB928580,D1,Crosbyxxx,Guillouxxx,1,6724 Spohn Way,2012-05-18,marrakech,,M,1,Job,0,743-457-5369,17887,,
2,IJ333115,D2,Nikolososo,Dederickdevdev,1,31090 Mallory Circle,1996-01-24,kech,,M,1,kech,621-666-0925,659-657-5139,28792,,
3,LS447071better7777,D3,Sidoney77777,Mahaddy7777,1,57794 3rd Park77777,77777-05-06,seven,,M,1,marrakech77777,203-330-2239777,773-475-44617777,329177,,
4,PU129606,D4,Sayre,De Courtney,0,1728 Milwaukee Junction,2008-12-27,,,M,1,,0,796-476-4037,88962,,
5,FO849008,D5,Dirk,Spellward,0,11 Milwaukee Lane,1977-08-19,,,M,1,,424-621-9631,920-182-8354,59062,,
6,KG781710,D6,Ardyth,Daintith,1,41 Stang Junction,1978-11-20,,,M,0,,985-184-6520,745-947-3222,21455,,
7,ZL345240,D7,Constanta,Drinkel,1,61137 Drewry Terrace,2001-01-24,kech,,M,0,job,946-700-2162,689-203-0507,86833,,
8,IW119879,D8,Rozalin,Stritton,1,67 Melrose Trail,1992-11-14,,,F,1,,0,982-891-0690,70468,,
9,UY070994,D9,Horatio,Craney,0,52 Fordem Trail,1991-12-31,,,M,0,,0,443-151-2537,39346,,
10,GQ486815,D10,Justine,McNeice,1,987 Melby Avenue,2011-11-17,,,M,1,,402-673-4019,163-931-3112,22531,,
11,Z0356663,D11,Kalvin,Liddyard,1,104 Dixon Road,1966-02-02,Marrakech,,F,1,test,0,713-448-9897,14478,,
12,NO943004,D12,Morty,Konertz,0,5344 Northridge Terrace,1977-02-22,,,M,0,,523-404-7767,884-347-8029,58049,,
13,ON207328,D13,Kevyn,Tooke,0,1 Myrtle Pass,2009-12-20,,,M,1,,264-575-7339,346-792-7576,24446,,
14,EM450205,D14,Lian,Maile,0,91 Cascade Road,2012-07-30,,,M,1,,187-524-9224,431-641-2866,53785,,
15,AA636363,D15,Matthus,Abrahams,1,162 Thompson Way,1972-12-27,,,F,0,,237-394-3313,446-308-0836,60607,,
